,Accuracy,Embed,Label
0,0.7917267917267917,LDVAE,CellType1
1,0.7897226230559564,LDVAE,CellType1
2,0.79004329004329,LDVAE,CellType1
3,0.7917267917267917,SCANVI,CellType1
4,0.7977392977392977,SCANVI,CellType1
5,0.7958152958152959,SCANVI,CellType1
6,0.8306212424849699,Recon MCML,CellType1
7,0.832625250501002,Recon MCML,CellType1
8,0.8273346693386774,Recon MCML,CellType1
9,0.726813627254509,NCA 100% MCML,CellType1
10,0.8451302605210421,NCA-Recon MCML,CellType1
11,0.847374749498998,NCA-Recon MCML,CellType1
12,0.8260521042084168,NCA-Recon MCML,CellType1
13,0.9237614237614238,LDVAE,Gender2
14,0.9210357543690877,LDVAE,Gender2
15,0.9235209235209235,LDVAE,Gender2
16,0.9210357543690877,SCANVI,Gender2
17,0.9250440917107584,SCANVI,Gender2
18,0.9219175885842552,SCANVI,Gender2
19,0.91374749498998,Recon MCML,Gender2
20,0.9115831663326653,Recon MCML,Gender2
21,0.9107014028056112,Recon MCML,Gender2
22,0.8796793587174349,NCA 100% MCML,Gender2
23,0.9217635270541082,NCA-Recon MCML,Gender2
24,0.9208817635270541,NCA-Recon MCML,Gender2
25,0.9206412825651302,NCA-Recon MCML,Gender2
26,0.7338677354709419,NCA 100% MCML,CellType2
27,0.8520240480961924,NCA-Recon MCML,CellType2
28,0.8434468937875752,NCA-Recon MCML,CellType2
29,0.8386372745490982,NCA-Recon MCML,CellType2
30,0.8185971943887775,PCA 50D,CellType1
31,0.8172344689378758,PCA 50D,CellType1
32,0.8217234468937876,PCA 50D,CellType1
33,0.9080561122244489,PCA 50D,Gender2
34,0.9036472945891784,PCA 50D,Gender2
35,0.9056513026052104,PCA 50D,Gender2
36,0.7547895791583167,PCA UMAP Sup.,CellType1
37,0.6729458917835671,PCA UMAP,CellType1
38,0.7519038076152305,PCA t-SNE,CellType1
39,0.7762725450901804,PCA UMAP Sup.,CellType1
40,0.6874549098196393,PCA UMAP,CellType1
41,0.7627254509018037,PCA t-SNE,CellType1
42,0.7567134268537075,PCA UMAP Sup.,CellType1
43,0.6744689378757515,PCA UMAP,CellType1
44,0.7622444889779559,PCA t-SNE,CellType1
45,0.8077755511022044,PCA 100D,CellType1
46,0.8102605210420841,PCA 100D,CellType1
47,0.8129058116232465,PCA 100D,CellType1
48,0.7706613226452906,PCA 40D UMAP Sup.,CellType1
49,0.6795190380761523,PCA 40D UMAP,CellType1
50,0.7614428857715431,PCA 40D t-SNE,CellType1
51,0.7622444889779559,PCA 40D UMAP Sup.,CellType1
52,0.6766332665330661,PCA 40D UMAP,CellType1
53,0.7608016032064129,PCA 40D t-SNE,CellType1
54,0.767374749498998,PCA 40D UMAP Sup.,CellType1
55,0.6877755511022045,PCA 40D UMAP,CellType1
56,0.7582364729458918,PCA 40D t-SNE,CellType1
57,0.8219639278557114,PCA 40D,CellType1
58,0.8174749498997996,PCA 40D,CellType1
59,0.8260521042084168,PCA 40D,CellType1
60,0.90436873747495,PCA 40D,Gender2
61,0.9031663326653306,PCA 40D,Gender2
62,0.9118236472945892,PCA 40D,Gender2
