,Accuracy,Embed,Label
0,0.3616917841516772,PCA UMAP Sup.,Condition
1,0.32620320855614976,PCA UMAP,Condition
2,0.3790309512234646,PCA t-SNE,Condition
3,0.32993031923513205,PCA UMAP Sup.,Condition
4,0.31907308377896615,PCA UMAP,Condition
5,0.37433155080213903,PCA t-SNE,Condition
6,0.3587749149246475,PCA UMAP Sup.,Condition
7,0.3270134500081024,PCA UMAP,Condition
8,0.38227191703127533,PCA t-SNE,Condition
9,0.44287797763733594,PCA 50D,Condition
10,0.45065629557608167,PCA 50D,Condition
11,0.4419056878949927,PCA 50D,Condition
12,0.41776049262680276,PCA 100D,Condition
13,0.41403338194782047,PCA 100D,Condition
14,0.40965807810727595,PCA 100D,Condition
