,Latent,Distance,Pearsonr,Dimension
0,Map,Inter-Type,0.48365308276227065,MCML 2D
1,Map,Intra-Sex,0.2511613828970359,MCML 2D
2,Map,Intra-Type,0.2659707988143719,MCML 2D
3,Map,Inter-Sex,0.17690576485959428,MCML 2D
4,Map,Inter-Type,0.3494184398763678,MCML 2D
5,Map,Intra-Sex,0.15623574284714398,MCML 2D
6,Map,Intra-Type,0.18131684356214667,MCML 2D
7,Map,Inter-Sex,0.24151876102354577,MCML 2D
8,Map,Inter-Type,0.4078989914150126,MCML 2D
9,Map,Intra-Sex,0.18586897885788864,MCML 2D
10,Map,Intra-Type,0.2491716861770079,MCML 2D
11,Map,Inter-Sex,0.19859677373861426,MCML 2D
12,Map,Inter-Type,0.46189238485138107,MCML 2D
13,Map,Intra-Sex,0.09889525268940426,MCML 2D
14,Map,Intra-Type,0.11062623087892319,MCML 2D
15,Map,Inter-Sex,0.09648264456273604,MCML 2D
16,Map,Inter-Type,0.427447951454659,MCML 2D
17,Map,Intra-Sex,-0.054764504537586585,MCML 2D
18,Map,Intra-Type,-0.025554112632989123,MCML 2D
19,Map,Inter-Sex,0.45095379247594736,MCML 2D
20,Elephant,Inter-Type,0.46038439801458797,MCML 2D
21,Elephant,Intra-Sex,0.1268997508039837,MCML 2D
22,Elephant,Intra-Type,0.22910229012177213,MCML 2D
23,Elephant,Inter-Sex,0.16332583845268028,MCML 2D
24,Elephant,Inter-Type,0.4705963622497661,MCML 2D
25,Elephant,Intra-Sex,-0.0884749287275527,MCML 2D
26,Elephant,Intra-Type,0.004381171825574889,MCML 2D
27,Elephant,Inter-Sex,0.0495755071803414,MCML 2D
28,Elephant,Inter-Type,0.37112453203006307,MCML 2D
29,Elephant,Intra-Sex,0.009658523770379965,MCML 2D
30,Elephant,Intra-Type,0.1212606201330623,MCML 2D
31,Elephant,Inter-Sex,0.07539416861486727,MCML 2D
32,Elephant,Inter-Type,0.29232306642122174,MCML 2D
33,Elephant,Intra-Sex,0.1987475007310203,MCML 2D
34,Elephant,Intra-Type,0.1799458523077478,MCML 2D
35,Elephant,Inter-Sex,0.20948956191709536,MCML 2D
36,Elephant,Inter-Type,0.2664067941342435,MCML 2D
37,Elephant,Intra-Sex,0.22566540257076065,MCML 2D
38,Elephant,Intra-Type,0.15360437493187337,MCML 2D
39,Elephant,Inter-Sex,-0.0010653972810344059,MCML 2D
40,Flower,Inter-Type,0.6468951182064699,MCML 2D
41,Flower,Intra-Sex,0.0758953809122505,MCML 2D
42,Flower,Intra-Type,-0.3703845098945298,MCML 2D
43,Flower,Inter-Sex,-0.3306986815236011,MCML 2D
44,Flower,Inter-Type,0.628906615393463,MCML 2D
45,Flower,Intra-Sex,0.17905512682861266,MCML 2D
46,Flower,Intra-Type,-0.053029569176434414,MCML 2D
47,Flower,Inter-Sex,-0.11598358494120461,MCML 2D
48,Flower,Inter-Type,0.694541203310746,MCML 2D
49,Flower,Intra-Sex,0.025439702938717328,MCML 2D
